,0
Memory_PssTotal,53439
Memory_PssClean,53439
Memory_SharedDirty,53439
Memory_PrivateDirty,53439
Memory_SharedClean,53439
Memory_PrivateClean,53439
Memory_SwapPssDirty,53439
Memory_HeapSize,53439
Memory_HeapAlloc,53439
Memory_HeapFree,53439
Memory_Views,53439
Memory_ViewRootImpl,53439
Memory_AppContexts,53439
Memory_Activities,53439
Memory_Assets,53439
Memory_AssetManagers,53439
Memory_LocalBinders,53439
Memory_ProxyBinders,53439
Memory_ParcelMemory,53439
Memory_ParcelCount,53439
Memory_DeathRecipients,53439
Memory_OpenSSLSockets,53439
Memory_WebViews,53439
API_Process_android.os.Process_start,53439
API_Process_android.app.ActivityManager_killBackgroundProcesses,53439
API_Process_android.os.Process_killProcess,53439
API_Command_java.lang.Runtime_exec,53439
API_Command_java.lang.ProcessBuilder_start,53439
API_JavaNativeInterface_java.lang.Runtime_loadLibrary,53439
API_JavaNativeInterface_java.lang.Runtime_load,53439
API_WebView_android.webkit.WebView_loadUrl,53439
API_WebView_android.webkit.WebView_loadData,53439
API_WebView_android.webkit.WebView_loadDataWithBaseURL,53439
API_WebView_android.webkit.WebView_addJavascriptInterface,53439
API_WebView_android.webkit.WebView_evaluateJavascript,53439
API_WebView_android.webkit.WebView_postUrl,53439
API_WebView_android.webkit.WebView_postWebMessage,53439
API_WebView_android.webkit.WebView_savePassword,53439
API_WebView_android.webkit.WebView_setHttpAuthUsernamePassword,53439
API_WebView_android.webkit.WebView_getHttpAuthUsernamePassword,53439
API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,53439
API_FileIO_libcore.io.IoBridge_open,53439
API_FileIO_android.content.ContextWrapper_openFileInput,53439
API_FileIO_android.content.ContextWrapper_openFileOutput,53439
API_FileIO_android.content.ContextWrapper_deleteFile,53439
API_Database_android.content.ContextWrapper_openOrCreateDatabase,53439
API_Database_android.content.ContextWrapper_databaseList,53439
API_Database_android.content.ContextWrapper_deleteDatabase,53439
API_Database_android.database.sqlite.SQLiteDatabase_execSQL,53439
API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,53439
API_Database_android.database.sqlite.SQLiteDatabase_getPath,53439
API_Database_android.database.sqlite.SQLiteDatabase_insert,53439
API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,53439
API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,53439
API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,53439
API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,53439
API_Database_android.database.sqlite.SQLiteDatabase_query,53439
API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,53439
API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,53439
API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,53439
API_Database_android.database.sqlite.SQLiteDatabase_update,53439
API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,53439
API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,53439
API_Database_android.database.sqlite.SQLiteDatabase_create,53439
API_IPC_android.content.ContextWrapper_sendBroadcast,53439
API_IPC_android.content.ContextWrapper_sendStickyBroadcast,53439
API_IPC_android.content.ContextWrapper_startActivity,53439
API_IPC_android.content.ContextWrapper_startService,53439
API_IPC_android.content.ContextWrapper_stopService,53439
API_IPC_android.content.ContextWrapper_registerReceiver,53439
API_Binder_android.app.ContextImpl_registerReceiver,53439
API_Binder_android.app.ActivityThread_handleReceiver,53439
API_Binder_android.app.Activity_startActivity,53439
API_Crypto_javax.crypto.spec.SecretKeySpec_$init,53439
API_Crypto_javax.crypto.Cipher_doFinal,53439
API_Crypto-Hash_java.security.MessageDigest_digest,53439
API_Crypto-Hash_java.security.MessageDigest_update,53439
API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,53439
API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,53439
API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,53439
API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,53439
API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,53439
API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,53439
API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,53439
API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,53439
API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,53439
API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,53439
API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,53439
API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,53439
API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,53439
API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,53439
API_DeviceInfo_android.os.Debug_isDebuggerConnected,53439
API_DeviceInfo_android.content.pm.PackageManager_getInstallerPackageName,53439
API_DeviceInfo_android.content.pm.PackageManager_getInstalledApplications,53439
API_DeviceInfo_android.content.pm.PackageManager_getInstalledModules,53439
API_DeviceInfo_android.content.pm.PackageManager_getInstalledPackages,53439
API_Network_java.net.URL_openConnection,53439
API_Network_org.apache.http.impl.client.AbstractHttpClient_execute,53439
API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,53439
API_Network_com.android.okhttp.internal.http.HttpURLConnectionImpl_getInputStream,53439
API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,53439
API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,53439
API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,53439
API_DexClassLoader_dalvik.system.DexFile_loadDex,53439
API_DexClassLoader_dalvik.system.DexFile_loadClass,53439
API_DexClassLoader_dalvik.system.DexClassLoader_$init,53439
API_Base64_android.util.Base64_decode,53439
API_Base64_android.util.Base64_encode,53439
API_Base64_android.util.Base64_encodeToString,53439
API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,53439
API_SystemManager_android.app.NotificationManager_notify,53439
API_SystemManager_android.telephony.TelephonyManager_listen,53439
API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,53439
API_SMS_android.telephony.SmsManager_sendTextMessage,53439
API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,53439
API_DeviceData_android.content.ContentResolver_query,53439
API_DeviceData_android.content.ContentResolver_registerContentObserver,53439
API_DeviceData_android.content.ContentResolver_insert,53439
API_DeviceData_android.content.ContentResolver_delete,53439
API_DeviceData_android.accounts.AccountManager_getAccountsByType,53439
API_DeviceData_android.accounts.AccountManager_getAccounts,53439
API_DeviceData_android.location.Location_getLatitude,53439
API_DeviceData_android.location.Location_getLongitude,53439
API_DeviceData_android.media.AudioRecord_startRecording,53439
API_DeviceData_android.media.MediaRecorder_start,53439
API_DeviceData_android.os.SystemProperties_get,53439
API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,53439
API__sessions,53439
Network_TotalReceivedBytes,53439
Network_TotalReceivedPackets,53439
Network_TotalTransmittedBytes,53439
Network_TotalTransmittedPackets,53439
Battery_wakelock,53439
Battery_service,53439
Logcat_warning,53439
Logcat_error,53439
Logcat_info,53439
Logcat_debug,53439
Logcat_verbose,53439
Logcat_total,53439
Process_total,53439
Category,53439
Family,53439
Before or After reboot,53439
