,0
Memory_PssTotal,int64
Memory_PssClean,int64
Memory_SharedDirty,int64
Memory_PrivateDirty,int64
Memory_SharedClean,int64
Memory_PrivateClean,int64
Memory_SwapPssDirty,int64
Memory_HeapSize,int64
Memory_HeapAlloc,int64
Memory_HeapFree,int64
Memory_Views,int64
Memory_ViewRootImpl,int64
Memory_AppContexts,int64
Memory_Activities,int64
Memory_Assets,int64
Memory_AssetManagers,int64
Memory_LocalBinders,int64
Memory_ProxyBinders,int64
Memory_ParcelMemory,int64
Memory_ParcelCount,int64
Memory_DeathRecipients,int64
Memory_OpenSSLSockets,int64
Memory_WebViews,int64
API_Process_android.os.Process_start,int64
API_Process_android.app.ActivityManager_killBackgroundProcesses,int64
API_Process_android.os.Process_killProcess,int64
API_Command_java.lang.Runtime_exec,int64
API_Command_java.lang.ProcessBuilder_start,int64
API_JavaNativeInterface_java.lang.Runtime_loadLibrary,int64
API_JavaNativeInterface_java.lang.Runtime_load,int64
API_WebView_android.webkit.WebView_loadUrl,int64
API_WebView_android.webkit.WebView_loadData,int64
API_WebView_android.webkit.WebView_loadDataWithBaseURL,int64
API_WebView_android.webkit.WebView_addJavascriptInterface,int64
API_WebView_android.webkit.WebView_evaluateJavascript,int64
API_WebView_android.webkit.WebView_postUrl,int64
API_WebView_android.webkit.WebView_postWebMessage,int64
API_WebView_android.webkit.WebView_savePassword,int64
API_WebView_android.webkit.WebView_setHttpAuthUsernamePassword,int64
API_WebView_android.webkit.WebView_getHttpAuthUsernamePassword,int64
API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,int64
API_FileIO_libcore.io.IoBridge_open,int64
API_FileIO_android.content.ContextWrapper_openFileInput,int64
API_FileIO_android.content.ContextWrapper_openFileOutput,int64
API_FileIO_android.content.ContextWrapper_deleteFile,int64
API_Database_android.content.ContextWrapper_openOrCreateDatabase,int64
API_Database_android.content.ContextWrapper_databaseList,int64
API_Database_android.content.ContextWrapper_deleteDatabase,int64
API_Database_android.database.sqlite.SQLiteDatabase_execSQL,int64
API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,int64
API_Database_android.database.sqlite.SQLiteDatabase_getPath,int64
API_Database_android.database.sqlite.SQLiteDatabase_insert,int64
API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,int64
API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,int64
API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,int64
API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,int64
